match_id_app,secuencia_rival_id,bepro_sequence_id,origen_segmentacion,tipologia,cluster_trayectoria,period,minuto_partido,start_time_seg,end_time_seg,end_time_bepro_ms,motivo_cierre,duracion_seg,indice_desorganizacion,indice_peligrosidad_accion,score_critico,xT_max,xT_added,pico_amenaza_concedida,exposicion_amenaza_concedida,control_campo_subiza_medio,control_campo_rival_medio,control_zona_peligrosa_subiza_medio,control_zona_peligrosa_rival_medio,pitch_control_rival_detras_linea,perdida_control_campo_subiza,incremento_control_zona_peligrosa_rival,categoria_desorganizacion_auto,categoria_peligrosidad_auto,tipo_desorganizacion_principal,tipo_desorganizacion_secundaria,tipo_finalizacion_tiro,tipo_finalizacion_tiro_puerta,es_gol,xg_tiro,score_finalizacion,match_time_tiro_oficial,distancia_tiro_seq_ms,tipo_asignacion_tiro_seq,x_fin,y_fin,ball_x_ini_m,ball_y_ini_m,ball_x_fin_m,ball_y_fin_m,ball_x_ini_norm_m,ball_y_ini_norm_m,ball_x_fin_norm_m,ball_y_fin_norm_m,progresion_x_norm_m,x_max_norm_m,recorrido_balon_m,recorrido_bepro_m,progresion_bepro_m,num_pases_bepro,direccion_progresion_bepro,num_eventos,num_eventos_rivales,tiene_setpiece,tipo_secuencia_ofensiva,motivo_conservacion,motivo_cierre.1,frames_poseedor_rival,frames_poseedor_propio,pct_poseedor_rival,validacion_rival_ok,alerta_validacion,indice_desorganizacion_nivel,indice_peligrosidad_accion_nivel
209425,7,56,bepro_sequences,T3,3.0,0,7.6,445.857,456.99,454985.0,cierre_recuperacion_propia,11.133,0.55,0.241,0.304,0.012,-0.006,0.012,0.138,0.172445544199873,0.827554455800127,2.9956811217376712e-05,0.9999700431887828,0.9999700431887828,0.0640034472158963,9.853422476335803e-05,alta,baja,pitch_control_rival,estructura_anchura,0,0,False,,0.1,,,,4.223090904,3.798457599999999,36.0876,0.3456,4.223090904,3.798457599999999,65.91239999999999,63.6544,97.776909096,60.2015424,31.86450909600001,99.34925256,32.05104000707223,26.1112,35.7854,1,sideways,2,2,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_recuperacion_propia,7.0,16.0,0.3043478260869565,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Inestable,Alta amenaza
209425,1,3,bepro_sequences,T3,3.0,0,0.3,3.591,15.818,15818.0,cierre_bepro,12.227,0.463,0.286,0.3,0.046,-0.036,0.046,0.365,0.2843925213200949,0.7156074786799048,0.0467830441597348,0.953216955840265,0.953216955840265,0.3707605032473807,0.1151447975834216,media,media,presion_distancia,pitch_control_rival,0,0,False,,0.1,,,,26.7920442,7.764499199999999,54.196071060000016,31.689630720000004,26.7920442,7.764499199999999,47.803928939999984,32.31036928,75.20795580000001,56.2355008,27.404026860000023,86.6910954,36.37846349686721,51.4836,39.9302,3,backward,7,7,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_bepro,10.0,2.0,0.8333333333333334,True,,Vulnerable,Alta amenaza
209425,13,127,bepro_sequences,T0,0.0,0,19.3,1150.326,1157.924,1157924.0,cierre_bepro,7.598,0.501,0.256,0.295,0.021,-0.014,0.021,0.217,0.2511477627137094,0.7488522372862906,0.0001792718838271,0.999820728116173,0.999820728116173,0.2399659603478951,0.0009455421191788,media,baja,estructura_anchura,pitch_control_rival,0,0,False,,0.1,,,,4.947,51.4368,41.30121474,27.0078336,4.947,51.4368,60.69878526,36.9921664,97.053,12.563200000000002,36.35421474,97.053,43.79958137624562,12.4437,47.8264,1,forward,3,3,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,4.0,7.0,0.3636363636363636,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Inestable,Alta amenaza
209425,39,459,bepro_sequences,T2,2.0,1,66.0,3945.538,3960.035,3956571.0,cierre_recuperacion_propia,14.497,0.249,0.35,0.291,0.231,-0.195,0.231,1.889,0.5685015157090147,0.4314984842909851,0.3053051218999799,0.6946948781000202,0.6946948781000202,0.2212595340636071,0.2566999694590919,baja,media,presion_distancia,estructura_anchura,0,0,False,,0.05,,,,70.3086,8.9408,6.426,38.5024,70.3086,8.9408,6.426,38.5024,70.3086,8.9408,63.8826,70.3086,70.39087140617028,47.9742,34.6607,3,backward,5,5,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_recuperacion_propia,5.0,0.0,1.0,True,,Estable,Alta amenaza
209425,16,149,bepro_sequences,T3,3.0,0,22.6,1348.091,1354.029,1354029.0,cierre_bepro,5.938,0.51,0.241,0.289,0.009,-0.004,0.009,0.134,0.1625044846196344,0.8374955153803654,4.2924775313883656e-08,0.9999999570752246,0.9999999570752246,0.037047376196481,2.212038697768648e-07,alta,baja,pitch_control_rival,estructura_anchura,0,0,False,,0.1,,,,5.6712,2.7584,25.8672,1.024,5.6712,2.7584,76.1328,62.976,96.3288,61.2416,20.196,96.3288,20.27033693257219,17.9849,22.5292,1,sideways,2,2,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_bepro,0.0,21.0,0.0,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Inestable,Alta amenaza
209425,12,121,bepro_sequences,T2,2.0,0,18.5,1099.637,1107.791,1107791.0,cierre_bepro,8.154,0.412,0.3,0.288,0.044,-0.029,0.044,0.482,0.3509160406995978,0.6490839593004021,0.0106988206144203,0.9893011793855796,0.9893011793855796,0.0738009655079378,0.0489234392612201,baja,media,presion_distancia,estructura_anchura,0,0,False,,0.1,,,,42.99800819999999,59.4155648,55.029,29.2288,42.99800819999999,59.4155648,46.971,34.7712,59.00199180000001,4.5844352000000015,12.03099180000001,59.00199180000001,32.49593101885506,43.0965,37.1,3,forward,4,4,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,6.0,7.0,0.4615384615384615,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Vulnerable,Alta amenaza
209425,6,52,bepro_sequences,T3,3.0,0,7.3,432.457,437.191,437191.0,cierre_bepro,4.734,0.46,0.249,0.277,0.017,-0.004,0.017,0.285,0.222105789236156,0.7778942107638441,2.367026572485281e-06,0.9999976329734276,0.9999976329734276,-0.0167289929011705,7.088781907027553e-06,media,baja,pitch_control_rival,estructura_anchura,0,0,False,,0.1,,,,39.6805806,4.84780224,43.9350516,11.0951296,39.6805806,4.84780224,58.064948400000006,52.9048704,62.3194194,59.15219776,4.254470999999995,65.587275,7.558414028937918,16.3601,7.6358,3,backward,4,4,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,5.0,5.0,0.5,True,,Vulnerable,Alta amenaza
209425,34,387,bepro_sequences,T3,3.0,1,52.7,3152.371,3159.442,3157884.0,cierre_recuperacion_propia,7.071,0.518,0.195,0.276,0.035,-0.028,0.035,0.22,0.2072796364113206,0.7927203635886795,1.1886447683220096e-05,0.999988113552317,0.999988113552317,0.0740227721245914,4.109747024472199e-06,alta,baja,pitch_control_rival,presion_distancia,0,0,False,,0.05,,,,92.26080999,43.3862336,48.0726,39.8976,92.26080999,43.3862336,48.0726,39.8976,92.26080999,43.3862336,44.18820999,95.3885589,44.32570886647369,41.728,50.3095,1,sideways,2,2,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_recuperacion_propia,2.0,2.0,0.5,True,,Inestable,Amenaza moderada
209425,27,278,bepro_sequences,T3,3.0,0,40.8,2432.372,2447.326,2445091.0,cierre_recuperacion_propia,14.954,0.442,0.222,0.26,0.028,-0.012,0.028,0.315,0.3167300074753535,0.6832699925246463,0.1012117052889144,0.8987882947110855,0.8987882947110855,0.3214418843783715,0.3001726754687247,media,baja,estructura_anchura,pitch_control_rival,0,0,False,,0.1,,,,9.3024,24.9216,39.16984722000001,40.297917440000006,9.3024,24.9216,62.83015277999999,23.702082559999997,92.6976,39.0784,29.867447220000003,95.5460622,33.59308770350136,67.0735,48.5984,3,backward,6,6,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_recuperacion_propia,9.0,9.0,0.5,True,,Vulnerable,Amenaza moderada
209425,19,186,bepro_sequences,T0,0.0,0,27.6,1647.447,1654.558,1652986.0,cierre_recuperacion_propia,7.111,0.428,0.236,0.259,0.014,-0.007,0.014,0.177,0.2629612779204123,0.7370387220795876,0.0131377129319463,0.9868622870680536,0.9868622870680536,0.1520557210803801,0.0280081171148478,media,baja,pitch_control_rival,estructura_anchura,0,0,False,,0.1,,,,19.0434,50.4256,37.8828,50.0864,19.0434,50.4256,64.1172,13.913600000000002,82.9566,13.574399999999995,18.8394,95.8494,18.84245336998343,25.0421,23.8567,1,forward,2,2,False,transicion_rapida,origen_recuperacion_rival,cierre_recuperacion_propia,2.0,13.0,0.1333333333333333,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Vulnerable,Amenaza moderada
209425,17,160,bepro_sequences,T3,3.0,0,23.5,1404.657,1408.423,1406449.0,cierre_recuperacion_propia,3.766,0.313,0.265,0.238,0.046,-0.031,0.046,0.458,0.3357212961253316,0.6642787038746685,0.0886419602395078,0.911358039760492,0.911358039760492,0.0893458283994948,0.126329873287693,baja,media,pitch_control_rival,presion_distancia,0,0,False,,0.1,,,,33.925200000000004,29.3184,54.4374,30.0032,33.925200000000004,29.3184,47.5626,33.9968,68.0748,34.6816,20.512199999999996,69.7272,20.52362784402406,17.3475,17.3475,2,backward,2,2,False,transicion_rapida,origen_recuperacion_rival,cierre_recuperacion_propia,0.0,1.0,0.0,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Estable,Alta amenaza
209425,21,210,bepro_sequences,T1,1.0,0,31.7,1896.197,1902.524,1902524.0,cierre_bepro,6.327,0.035,0.35,0.229,0.295,-0.093,0.295,5.095,0.6239981793840268,0.3760018206159732,0.5615195766057682,0.438480423394232,0.438480423394232,0.0485148375115431,0.1859139620934411,baja,media,estructura_anchura,presion_distancia,0,0,False,,0.05,,,,87.8866272,32.7373504,98.2464,29.3568,87.8866272,32.7373504,3.753600000000006,34.6432,14.113372799999992,31.262649600000003,10.359772799999988,14.113372799999992,10.897385625670028,11.6949,11.6949,1,forward,1,1,False,juego_directo,primer_pase_largo_progresivo,cierre_bepro,1.0,16.0,0.0588235294117647,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Estable,Alta amenaza
209425,24,266,bepro_sequences,T2,2.0,0,38.9,2323.791,2331.191,2327691.0,cierre_recuperacion_propia,7.4,0.283,0.224,0.206,0.029,-0.022,0.029,0.397,0.4763521679928121,0.5236478320071878,0.1006717004441822,0.8993282995558178,0.8993282995558178,0.3563705105215875,0.2168671339570154,baja,baja,estructura_anchura,pitch_control_rival,0,0,False,,0.1,,,,17.03775054,40.30799744,55.17565355569969,49.55656791255309,17.03775054,40.30799744,46.82434644430031,14.443432087446908,84.96224946,23.69200256,38.137903015699685,85.5856806,39.2432886264734,25.7356,12.779,4,forward,5,5,False,transicion_rapida,origen_recuperacion_rival,cierre_recuperacion_propia,2.0,4.0,0.3333333333333333,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Estable,Amenaza moderada
209425,40,527,bepro_sequences,T0,0.0,1,77.0,4599.847,4622.192,4622192.0,cierre_bepro,22.345,0.281,0.201,0.204,0.075,-0.063,0.075,0.495,0.4486154041439844,0.5513845958560156,0.1562763759189744,0.8437236240810254,0.8437236240810254,0.3372103458357193,0.3534981943514375,baja,baja,presion_distancia,estructura_anchura,0,0,False,,0.05,,,,67.6974,51.0144,23.97,17.8944,67.6974,51.0144,23.97,17.8944,67.6974,51.0144,43.7274,73.1034,54.85453409482211,73.8191,57.9285,4,forward,7,7,False,ataque_elaborado,posesion_bepro_elaborada,cierre_bepro,8.0,11.0,0.4210526315789473,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.,Estable,Amenaza moderada
