kpi,valor
Secuencias rivales,94
Tiros Bepro rival,13
Tiros en secuencias,11
Tiros a puerta rival,7
IDD medio,0.5103575136838069
IPO medio,0.32868256712998
Cluster mas repetido,C1.0
Zona/carril mas danino,halfspace_izquierdo
Foco defensivo,estructura_retroceso
Cluster prioritario,C2.0
