cluster_trayectoria,secuencias,tiros,tiros_puerta,duracion_media,porcentaje,tiro_pct,zona_dominante,carril_dominante,etiqueta_tactica
0.0,19,5,3,11.7,20.2,26.3,zona_3,carril_2,zona_3_carril_2_retroceso_alta_amenaza
1.0,28,0,0,13.6,29.8,0.0,zona_2,carril_2,zona_2_carril_2_retroceso_baja_amenaza
2.0,23,6,3,11.0,24.5,26.1,zona_3,carril_4,zona_3_carril_4_retroceso_alta_amenaza
3.0,24,0,0,13.6,25.5,0.0,zona_2,carril_3,zona_2_carril_3_progresion_vertical_baja_amenaza
