cluster_trayectoria,punto,amenaza_media
0.0,0,0.037773347946540636
0.0,1,0.037589036627302216
0.0,2,0.03827909453448123
0.0,3,0.03942176172869279
0.0,4,0.04064833886230381
0.0,5,0.04070418823495267
0.0,6,0.040124120044007845
0.0,7,0.04122359722362161
0.0,8,0.04481307545181879
0.0,9,0.05046117686108433
0.0,10,0.0567560713473211
0.0,11,0.061877170684196285
0.0,12,0.06586529806124361
0.0,13,0.06983496212360694
0.0,14,0.07471506066534354
0.0,15,0.0826727489075051
0.0,16,0.09280461467097122
0.0,17,0.10632171502515252
0.0,18,0.11912032478769545
0.0,19,0.12598656224919397
1.0,0,0.016010553075092693
1.0,1,0.0156888137159317
1.0,2,0.015237828585560552
1.0,3,0.015069259365356323
1.0,4,0.015263305950195797
1.0,5,0.015460721789529458
1.0,6,0.015898210015494452
1.0,7,0.016545878157070263
1.0,8,0.017329102112975076
1.0,9,0.017935742412190394
1.0,10,0.018146679163161785
1.0,11,0.018865896174402343
1.0,12,0.01971098619153613
1.0,13,0.021339838055107908
1.0,14,0.023181166871134178
1.0,15,0.025300878286987363
1.0,16,0.027509433297974364
1.0,17,0.030977841160907533
1.0,18,0.03548736119552418
1.0,19,0.03837328676656324
2.0,0,0.021269825039230784
2.0,1,0.02168894557255377
2.0,2,0.022889911223596526
2.0,3,0.024163885516986023
2.0,4,0.025793399944010014
2.0,5,0.027671064844155265
2.0,6,0.02925368490337196
2.0,7,0.03077794804875472
2.0,8,0.032020534579668414
2.0,9,0.03417847742370369
2.0,10,0.036752085103278175
2.0,11,0.040005411516877976
2.0,12,0.04372749653224173
2.0,13,0.049495975994614666
2.0,14,0.056518691654061065
2.0,15,0.06366886177969205
2.0,16,0.0704610222918754
2.0,17,0.07946408895563846
2.0,18,0.09005348190958758
2.0,19,0.09638459170497524
3.0,0,0.010539374766195295
3.0,1,0.010504786546612988
3.0,2,0.010549588429168755
3.0,3,0.010812334467117617
3.0,4,0.011155167181746377
3.0,5,0.01156300713979066
3.0,6,0.011870653211492234
3.0,7,0.01222840257522303
3.0,8,0.012618302286067773
3.0,9,0.013190651402680525
3.0,10,0.013924351337722343
3.0,11,0.015131292896101317
3.0,12,0.016119819003543916
3.0,13,0.017016123396206992
3.0,14,0.01815780498887446
3.0,15,0.020598698806185586
3.0,16,0.024058555665022883
3.0,17,0.028959860831056033
3.0,18,0.03547768176184018
3.0,19,0.039313052691683455
