secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
5,T1,1.0,0,446530,0,61.86581779692185,60.0110178320657,0
5,T1,1.0,0,447250,1,62.790010356670614,57.28109670653279,0
5,T1,1.0,0,447770,2,61.43237568600001,57.378494912,0
5,T1,1.0,0,448530,3,60.727859697000014,56.561008544,0
5,T1,1.0,0,449250,4,56.650800000000004,56.832,0
5,T1,1.0,0,449770,5,54.6006,56.7616,0
5,T1,1.0,0,450530,6,51.5916,56.6656,0
5,T1,1.0,0,451250,7,48.092999999999996,55.2704,0
5,T1,1.0,0,451770,8,43.8906,50.9696,0
5,T1,1.0,0,452530,9,37.7604,44.6784,0
5,T1,1.0,0,453250,10,31.946399999999997,38.72,0
5,T1,1.0,0,453770,11,25.458899318233748,32.799724807359866,0
5,T1,1.0,0,454530,12,21.3194892,27.833900799999995,0
5,T1,1.0,0,455010,13,20.74139196,27.50803904,0
5,T1,1.0,0,455770,14,19.208612606186673,27.410206845281675,0
5,T1,1.0,0,456530,15,19.3487268,27.025145599999995,0
5,T1,1.0,0,457010,16,23.623805880000003,24.49983296,0
5,T1,1.0,0,457770,17,32.7494052,19.3998784,0
5,T1,1.0,0,458530,18,47.991,12.0192,0
5,T1,1.0,0,459010,19,54.253800000000005,7.072,0
5,T1,1.0,0,459770,20,66.06540000000001,1.3888,0
5,T1,1.0,0,477250,21,69.79860000000001,0.0,0
5,T1,1.0,0,477770,22,69.79860000000001,0.0,0
5,T1,1.0,0,478530,23,69.79860000000001,0.0,0
6,T2,2.0,0,497250,0,39.1374,23.7824,0
6,T2,2.0,0,497530,1,39.2598,25.6448,0
6,T2,2.0,0,497770,2,39.3618,27.2384,0
6,T2,2.0,0,498250,3,39.29140296266182,30.146490921441128,0
6,T2,2.0,0,498530,4,38.87990592979039,29.642046875976725,0
6,T2,2.0,0,498770,5,38.1242952,28.205862399999997,0
6,T2,2.0,0,499010,6,38.0916552,28.0151424,0
6,T2,2.0,0,499250,7,39.04235232,29.69293184,0
6,T2,2.0,0,499530,8,40.38780576,32.08618112,0
6,T2,2.0,0,500010,9,42.726412800000006,36.4868736,0
6,T2,2.0,0,500250,10,44.9412,40.8576,0
6,T2,2.0,0,500530,11,46.5426,43.8592,0
6,T2,2.0,0,500770,12,47.9094,46.432,0
6,T2,2.0,0,501010,13,49.2864,49.0048,0
6,T2,2.0,0,501250,14,50.6532,51.5776,0
6,T2,2.0,0,501770,15,52.7544,52.8576,0
6,T2,2.0,0,502010,16,53.6418,53.088,0
6,T2,2.0,0,502250,17,54.53939999999999,53.3184,0
