cluster_trayectoria,secuencias,ddi_medio,ipar_medio,tiros,tiros_puerta
0.0,19,0.634,0.571,5,3
2.0,23,0.556,0.474,6,3
1.0,28,0.473,0.194,0,0
3.0,24,0.413,0.155,0,0
