match_id,schedule_id,schedule_video_id,video_id,duration_ms,period0_padding_ms,period0_start_ms,period0_end_ms,period1_padding_ms,period1_start_ms,period1_end_ms,hls_url
199542,520395,323293,1110178,7556000,951097,0,2701661,4556272,2700000,5644171,https://s.bepro11.com/videos-europe-west4/original-cerberus/1110178/2025-09-27/17589862862-83c7be85-9399-4a53-a4ae-9e4c64710aeb/playlist.m3u8
207673,536197,337288,1151615,7836000,921630,0,2766686,4619633,2700000,5749124,https://s.bepro11.com/videos-europe-west4/original-cerberus/1151615/2025-11-01/17614118895-d5291f13-56ad-41ad-855b-335264a5d772/playlist.m3u8
209425,540944,342721,1169472,8302000,1403309,0,3009278,5334295,2700000,5649305,https://s.bepro11.com/videos-europe-west4/original-cerberus/1169472/2025-11-15/17632192298-d924fd9c-4708-498e-bb5b-6095ef49e463/playlist.m3u8
212200,550027,354390,1204447,7238000,519020,0,2919824,4419676,2700000,5408174,https://s.bepro11.com/videos-europe-west4/original-cerberus/1204447/2025-12-20/17662404099-15353c05-3169-4498-b894-0cdb26d93061/playlist.m3u8
