cluster_trayectoria,punto,amenaza_media
0.0,0,0.1357015150506783
0.0,1,0.13323109546424025
0.0,2,0.12877132918568776
0.0,3,0.1303257439285105
0.0,4,0.1318394764889522
0.0,5,0.1405562335298862
0.0,6,0.15053201713233952
0.0,7,0.1558654573782216
0.0,8,0.14981911051820537
0.0,9,0.14177146074703006
0.0,10,0.13870111755101197
0.0,11,0.13557113398413034
0.0,12,0.1327183367843595
0.0,13,0.12636524710226388
0.0,14,0.12447893753525714
0.0,15,0.11930777348983464
0.0,16,0.12041404587630115
0.0,17,0.11803400139838993
0.0,18,0.12150851937696205
0.0,19,0.12032263244774612
1.0,0,0.05333930127509769
1.0,1,0.05171154651880008
1.0,2,0.047344188134450016
1.0,3,0.04153895191727285
1.0,4,0.03428103152588878
1.0,5,0.027789316042662864
1.0,6,0.02269976675691567
1.0,7,0.019315226436432593
1.0,8,0.017015584548593334
1.0,9,0.015715771553325604
1.0,10,0.015034313714032639
1.0,11,0.014259915871435838
1.0,12,0.013534614934816573
1.0,13,0.012865792390003544
1.0,14,0.012467312764370249
1.0,15,0.012043120727242588
1.0,16,0.01170510607651177
1.0,17,0.011576525043586866
1.0,18,0.011898544884700395
1.0,19,0.012115932444004097
2.0,0,0.04499329623295416
2.0,1,0.04540339467505758
2.0,2,0.0462504041544205
2.0,3,0.046944021713294454
2.0,4,0.04592166113966208
2.0,5,0.043634098426702544
2.0,6,0.03948543719472541
2.0,7,0.03511169912434677
2.0,8,0.030800056627734204
2.0,9,0.027698768454014644
2.0,10,0.025600169116656458
2.0,11,0.023986882181278923
2.0,12,0.02299738363755378
2.0,13,0.022955777540235978
2.0,14,0.02374112392604182
2.0,15,0.02443334477531245
2.0,16,0.024642970868175632
2.0,17,0.024511521374380296
2.0,18,0.02389135356234934
2.0,19,0.02371525154262752
3.0,0,0.03422907622381591
3.0,1,0.03251355232342534
3.0,2,0.02971073974430799
3.0,3,0.02681033576279816
3.0,4,0.024673477045447378
3.0,5,0.02233253184764485
3.0,6,0.019028447638011287
3.0,7,0.015398128424820898
3.0,8,0.011981345024668506
3.0,9,0.009890957142590985
3.0,10,0.008583998302288913
3.0,11,0.00791609994760247
3.0,12,0.007583967251605
3.0,13,0.007371147514251543
3.0,14,0.007204902290137964
3.0,15,0.007085312740996216
3.0,16,0.006934744616723255
3.0,17,0.006754323444516769
3.0,18,0.0066301160522716845
3.0,19,0.006560208765789912
