secuencia_rival_id,cluster_trayectoria,indice_desorganizacion,indice_peligrosidad_accion,tipo_desorganizacion_principal,tipo_finalizacion_tiro,tipo_finalizacion_tiro_puerta
10,3.0,0.339,0.798,estructura_anchura,1,1
28,3.0,0.383,0.672,presion_distancia,1,1
