secuencia_rival_id,cluster_trayectoria,indice_peligrosidad_accion,indice_desorganizacion,categoria_peligrosidad_auto,categoria_desorganizacion_auto,tipo_desorganizacion_principal,score_finalizacion,tipo_finalizacion_tiro,tipo_finalizacion_tiro_puerta
10,0.0,0.7982880189847311,0.3385097015555403,critica,baja,estructura_anchura,1.0,1,1
8,3.0,0.6878741800545007,0.4629143274638621,critica,media,presion_distancia,0.33499999999999996,1,0
28,0.0,0.6716330461695946,0.3825802142810616,muy_alta,baja,presion_distancia,1.0,1,1
11,0.0,0.65,0.5088910113156176,muy_alta,alta,pitch_control_rival,1.0,1,1
3,0.0,0.6445719363409279,0.41792102234967654,muy_alta,media,estructura_anchura,1.0,1,1
45,0.0,0.636698123874647,0.28424686405299954,alta,baja,estructura_anchura,0.3,0,0
23,3.0,0.622159049785798,0.548451412171397,alta,alta,pitch_control_rival,0.307,1,0
46,0.0,0.6194158908928765,0.375786513917988,alta,baja,pitch_control_rival,0.3,0,0
32,0.0,0.6065376186997807,0.6,alta,muy_alta,estructura_anchura,0.3,0,0
29,3.0,0.4983348600135785,0.29854465755595183,alta,baja,estructura_anchura,0.1,0,0
36,1.0,0.46086454331754356,0.2910323893421407,alta,baja,presion_distancia,0.1,0,0
43,3.0,0.41843959838141476,0.31913338686375947,alta,baja,presion_distancia,0.05,0,0
20,0.0,0.41583589235815727,0.4545161183717742,media,media,presion_distancia,0.1,0,0
35,1.0,0.41445521270724006,0.44302672407317695,media,media,presion_distancia,0.05,0,0
2,2.0,0.37900921439475366,0.38475705506241686,media,baja,presion_distancia,0.1,0,0
