secuencia_rival_id,bepro_sequence_id,origen_segmentacion,tipologia,cluster_trayectoria,period,minuto_partido,start_time_seg,end_time_seg,end_time_bepro_ms,motivo_cierre,duracion_seg,indice_desorganizacion,indice_peligrosidad_accion,score_critico,xT_max,xT_added,pico_amenaza_concedida,exposicion_amenaza_concedida,control_campo_subiza_medio,control_campo_rival_medio,control_zona_peligrosa_subiza_medio,control_zona_peligrosa_rival_medio,pitch_control_rival_detras_linea,perdida_control_campo_subiza,incremento_control_zona_peligrosa_rival,categoria_desorganizacion_auto,categoria_peligrosidad_auto,tipo_desorganizacion_principal,tipo_desorganizacion_secundaria,tipo_finalizacion_tiro,tipo_finalizacion_tiro_puerta,es_gol,xg_tiro,score_finalizacion,match_time_tiro_oficial,distancia_tiro_seq_ms,tipo_asignacion_tiro_seq,x_fin,y_fin,ball_x_ini_m,ball_y_ini_m,ball_x_fin_m,ball_y_fin_m,ball_x_ini_norm_m,ball_y_ini_norm_m,ball_x_fin_norm_m,ball_y_fin_norm_m,progresion_x_norm_m,x_max_norm_m,recorrido_balon_m,recorrido_bepro_m,progresion_bepro_m,num_pases_bepro,direccion_progresion_bepro,num_eventos,num_eventos_rivales,tiene_setpiece,tipo_secuencia_ofensiva,motivo_conservacion,motivo_cierre,frames_poseedor_rival,frames_poseedor_propio,pct_poseedor_rival,validacion_rival_ok,alerta_validacion
10,73,bepro_sequences,T3,3.0,0,10.3,602.751,615.624,615624.0,cierre_bepro,12.873,0.339,0.798,0.502,0.122,-0.115,0.122,1.022,0.4035769732982981,0.5964230267017019,0.15767811838562745,0.8423218816143725,0.8423218816143725,0.30753703737350846,0.2623787685609429,baja,critica,estructura_anchura,presion_distancia,1,1,True,0.18,1.0,613391.0,0.0,dentro_intervalo,12.056934275999991,34.935399935999996,87.9302424,43.3830592,12.056934275999991,34.935399935999996,14.069757600000003,20.616940800000002,89.94306572400001,29.064600064000004,75.873308124,91.4328,76.34213667903258,76.34213667903258,75.873308124,0,forward,5,5,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_bepro,7.0,5.0,0.5833333333333334,True,
32,367,bepro_sequences,T3,3.0,1,50.2,2993.684,3009.882,3008438.0,cierre_recuperacion_propia,16.198,0.6,0.607,0.484,0.006,0.0,0.006,0.114,0.08083414364337098,0.9191658563566291,1.0640063650052163e-21,1.0,1.0,-0.006530160977368651,0.0,muy_alta,alta,estructura_anchura,pitch_control_rival,0,0,False,,0.3,,,,100.164,10.4128,100.0518,10.624,100.164,10.4128,100.0518,10.624,100.164,10.4128,0.11220000000000141,100.215,0.2391532563023139,33.5258,31.8416,3,sideways,6,6,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_recuperacion_propia,,,,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
8,65,bepro_sequences,T1,1.0,0,9.2,542.091,549.624,549624.0,cierre_bepro,7.533,0.463,0.688,0.478,0.033,-0.024,0.033,0.298,0.3207334719170549,0.6792665280829452,0.007981391981719127,0.9920186080182809,0.9920186080182809,0.18017345329344248,0.033584883260632914,media,critica,presion_distancia,estructura_anchura,1,0,False,0.05,0.335,549624.0,0.0,dentro_intervalo,18.5334,19.392,55.1412,47.4816,18.5334,19.392,46.8588,16.5184,83.4666,44.608000000000004,36.6078,83.4666,46.14278544908185,53.2583,50.4296,1,backward,3,3,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_bepro,2.0,1.0,0.6666666666666666,True,
23,258,bepro_sequences,T1,1.0,0,37.9,2264.091,2274.227,2272357.0,cierre_recuperacion_propia,10.136,0.548,0.622,0.475,0.015,-0.009,0.015,0.203,0.19047403082830208,0.809525969171698,5.713722685988082e-07,0.9999994286277314,0.9999994286277314,0.015953431052085437,-1.1424210845101257e-06,alta,alta,pitch_control_rival,presion_distancia,1,0,False,0.01,0.307,2262324.0,1767.0,tiro_cercano_a_intervalo,8.119200000000001,27.264,35.62680684,46.117546880000006,8.119200000000001,27.264,66.37319316,17.882453119999994,93.8808,36.736000000000004,27.507606839999994,96.1758,33.34853316145064,50.0654,54.0253,3,backward,5,5,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_recuperacion_propia,11.0,1.0,0.9166666666666666,True,
11,98,bepro_sequences,T3,3.0,0,13.8,824.724,829.425,829425.0,cierre_bepro,4.701,0.509,0.65,0.472,0.008,-0.002,0.008,0.135,0.1479163468717827,0.8520836531282173,3.0074673886204375e-14,0.9999999999999701,0.9999999999999701,-0.06549955567318202,1.4765966227514582e-13,alta,muy_alta,pitch_control_rival,presion_distancia,1,1,True,0.24,1.0,825091.0,0.0,dentro_intervalo,7.6623695399999905,35.702554879999994,17.746276199999993,29.421401600000003,7.6623695399999905,35.702554879999994,84.2537238,34.5785984,94.33763046000001,28.297445120000006,10.083906660000011,94.33763046000001,11.880154041696894,11.880154041696894,10.083906660000011,1,sideways,6,6,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,7.0,1.0,0.875,True,
28,283,bepro_sequences,T3,3.0,0,41.5,2470.324,2487.039,2487039.0,cierre_bepro,16.715,0.383,0.672,0.447,0.052,-0.046,0.052,0.442,0.3596277523406159,0.640372247659384,0.11697353281973628,0.8830264671802637,0.8830264671802637,0.5349663051761196,0.4076391649447858,baja,muy_alta,presion_distancia,pitch_control_rival,1,1,True,0.3,1.0,2487039.0,0.0,dentro_intervalo,7.253577,37.234393600000004,65.4534,18.8416,7.253577,37.234393600000004,36.5466,45.1584,94.746423,26.765606399999996,58.199822999999995,98.1036,61.03699086327512,61.03699086327512,63.8386,1,sideways,4,4,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_bepro,4.0,11.0,0.26666666666666666,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
3,11,bepro_sequences,T3,3.0,0,1.6,92.583,98.891,98891.0,cierre_bepro,6.308,0.418,0.645,0.439,0.015,-0.009,0.015,0.203,0.31731436049404016,0.6826856395059598,0.018792107992526747,0.9812078920074733,0.9812078920074733,0.29327259991777554,0.09039930423189313,media,muy_alta,estructura_anchura,pitch_control_rival,1,1,True,0.61,1.0,98891.0,0.0,dentro_intervalo,6.3649938,37.3121856,41.0958,52.9216,6.3649938,37.3121856,60.9042,11.078400000000002,95.6350062,26.6878144,34.7308062,95.6350062,38.077325499736524,38.077325499736524,40.5014,1,backward,4,4,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,6.0,14.0,0.3,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
46,612,bepro_sequences,T3,3.0,1,93.6,5607.405,5614.138,5611048.0,cierre_recuperacion_propia,6.733,0.376,0.619,0.415,0.022,-0.016,0.022,0.18,0.2898033642206951,0.710196635779305,0.008695054792282794,0.9913049452077172,0.9913049452077172,-0.000641080052467824,-0.0009561742422293795,baja,alta,pitch_control_rival,presion_distancia,0,0,False,,0.3,,,,96.986293122,7.78858368,57.0588,18.4448,96.986293122,7.78858368,57.0588,18.4448,96.986293122,7.78858368,39.92749312200001,99.31632594000001,41.32504873882174,37.3584,37.3584,1,sideways,2,2,False,transicion_rapida,origen_recuperacion_rival,cierre_recuperacion_propia,2.0,3.0,0.4,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
45,575,bepro_sequences,T3,3.0,1,87.3,5235.205,5239.834,5239834.0,cierre_bepro,4.629,0.284,0.637,0.393,0.033,-0.027,0.033,0.286,0.43796740079506213,0.562032599204938,0.021762060849230862,0.9782379391507693,0.9782379391507693,0.004778698648621127,0.018955528370093067,baja,alta,estructura_anchura,pitch_control_rival,0,0,False,,0.3,,,,93.4445868,1.7457024,44.3394,14.8992,93.4445868,1.7457024,44.3394,14.8992,93.4445868,1.7457024,49.1051868,93.4445868,50.836343985146094,53.3743,53.3743,1,sideways,2,2,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,2.0,0.0,1.0,True,
30,304,bepro_sequences,T3,3.0,0,46.3,2768.857,2777.445,2775741.0,cierre_recuperacion_propia,8.588,0.8,0.241,0.39,0.006,0.0,0.006,0.123,0.13691488982633296,0.8630851101736671,3.573328577929359e-14,0.9999999999999643,0.9999999999999643,-0.0865432566681987,1.6897594434794883e-13,critica,baja,pitch_control_rival,estructura_retroceso,0,0,False,,0.1,,,,11.925704217294284,16.068321724448307,7.2114,1.6512,11.925704217294284,16.068321724448307,94.7886,62.3488,90.07429578270572,47.93167827555169,-4.714304217294284,97.52364432,15.168324332989389,23.0467,21.8895,2,forward,4,4,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_recuperacion_propia,4.0,18.0,0.18181818181818182,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
