cluster_trayectoria,secuencias,ddi_medio,ipar_medio,tiros,tiros_puerta
0,25,0.57,0.561,5,3
2,10,0.547,0.326,1,0
3,17,0.363,0.164,2,0
1,10,0.362,0.095,0,0
