secuencia_rival_id,bepro_sequence_id,origen_segmentacion,tipologia,cluster_trayectoria,period,minuto_partido,start_time_seg,end_time_seg,end_time_bepro_ms,motivo_cierre,duracion_seg,indice_desorganizacion,indice_peligrosidad_accion,score_critico,xT_max,xT_added,pico_amenaza_concedida,exposicion_amenaza_concedida,control_campo_subiza_medio,control_campo_rival_medio,control_zona_peligrosa_subiza_medio,control_zona_peligrosa_rival_medio,pitch_control_rival_detras_linea,perdida_control_campo_subiza,incremento_control_zona_peligrosa_rival,categoria_desorganizacion_auto,categoria_peligrosidad_auto,tipo_desorganizacion_principal,tipo_desorganizacion_secundaria,tipo_finalizacion_tiro,tipo_finalizacion_tiro_puerta,es_gol,xg_tiro,score_finalizacion,match_time_tiro_oficial,distancia_tiro_seq_ms,tipo_asignacion_tiro_seq,x_fin,y_fin,ball_x_ini_m,ball_y_ini_m,ball_x_fin_m,ball_y_fin_m,ball_x_ini_norm_m,ball_y_ini_norm_m,ball_x_fin_norm_m,ball_y_fin_norm_m,progresion_x_norm_m,x_max_norm_m,recorrido_balon_m,recorrido_bepro_m,progresion_bepro_m,num_pases_bepro,direccion_progresion_bepro,num_eventos,num_eventos_rivales,tiene_setpiece,tipo_secuencia_ofensiva,motivo_conservacion,motivo_cierre,frames_poseedor_rival,frames_poseedor_propio,pct_poseedor_rival,validacion_rival_ok,alerta_validacion
38,346,bepro_sequences,T2,2,0,44.7,2655.417,2682.632,2682632.0,cierre_bepro,27.215,0.728,0.914,0.712,0.231,0.214,0.231,0.923,0.36688370033724127,0.6331162996627586,0.7789746678285359,0.221025332171464,0.221025332171464,0.3432496172538061,0.554847454308624,muy_alta,muy_alta,estructura_retroceso,estructura_anchura,1,1,False,0.14,0.398,2682632.0,0.0,dentro_intervalo,92.29999380000001,34.6546688,40.9805502,16.494905600000003,92.29999380000001,34.6546688,40.9805502,16.494905600000003,92.29999380000001,34.6546688,51.31944360000001,92.29999380000001,54.43769182187702,129.6172,57.7931,8,sideways,17,17,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_bepro,13.0,13.0,0.5,True,
23,233,bepro_sequences,T2,2,0,30.0,1794.846,1802.743,1802743.0,cierre_bepro,7.897,0.557,1.0,0.709,0.32,0.144,0.32,2.823,0.21175140490930505,0.7882485950906949,0.4410292902157563,0.5589707097842437,0.5589707097842437,0.006650347840796961,0.006460519345043214,media,critica,pitch_control_rival,estructura_anchura,1,0,False,0.45,0.615,1802743.0,0.0,dentro_intervalo,101.25540000000001,30.992115199999997,93.2257910099731,40.58270723009371,101.25540000000001,30.992115199999997,93.2257910099731,40.58270723009371,101.25540000000001,30.992115199999997,8.029608990026915,101.25540000000001,12.508160377146517,12.508160377146517,16.0865,1,backward,6,6,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,6.0,8.0,0.42857142857142855,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
2,8,bepro_sequences,T1,1,0,0.9,48.673,51.413,51413.0,cierre_bepro,2.74,0.559,1.0,0.691,0.227,0.179,0.227,2.08,0.12060624715377022,0.8793937528462296,0.312516485611813,0.6874835143881871,0.6874835143881871,0.020342124236238088,0.06174316098845389,media,critica,pitch_control_rival,presion_distancia,1,1,False,0.27,0.489,51413.0,0.0,dentro_intervalo,98.27237939999999,26.486028799999996,96.774336,2.3679807999999944,98.27237939999999,26.486028799999996,96.774336,2.3679807999999944,98.27237939999999,26.486028799999996,1.498043399999986,98.27237939999999,24.164527170184556,25.419,25.419,0,forward,2,2,False,transicion_rapida,origen_recuperacion_rival,cierre_bepro,3.0,0.0,1.0,True,
48,452,bepro_sequences,T0,0,1,62.0,3706.257,3719.668,3719668.0,cierre_bepro,13.411,0.571,0.871,0.625,0.164,0.158,0.164,0.812,0.5291572966325863,0.47084270336741374,0.9019116577252762,0.09808834227472377,0.09808834227472377,0.21446619322289084,0.3118922021654593,media,muy_alta,estructura_retroceso,presion_distancia,1,0,False,0.14,0.398,3719668.0,0.0,dentro_intervalo,13.903579200000001,24.49455744,97.616763996,34.64551296,13.903579200000001,24.49455744,4.383236003999997,29.354487040000002,88.0964208,39.50544256,83.71318479600001,88.0964208,84.32638499697627,93.7486,87.75,4,sideways,7,7,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_bepro,9.0,6.0,0.6,True,
31,283,bepro_sequences,T1,1,0,35.2,2103.287,2114.108,2114108.0,cierre_bepro,10.821,0.507,0.916,0.616,0.135,0.029,0.135,1.384,0.21127825360075345,0.7887217463992465,0.5352662364559009,0.46473376354409907,0.46473376354409907,0.2737408758112826,0.5036187925181566,media,muy_alta,pitch_control_rival,estructura_anchura,1,0,False,0.01,0.307,2114108.0,0.0,dentro_intervalo,76.6632,14.3104,71.859,6.1376,76.6632,14.3104,71.859,6.1376,76.6632,14.3104,4.804200000000009,96.9204,9.480242480021282,19.1857,19.5173,2,sideways,4,4,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_bepro,4.0,15.0,0.21052631578947367,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
33,289,bepro_sequences,T1,1,0,35.7,2127.251,2141.58,2141580.0,cierre_bepro,14.329,0.682,0.794,0.615,0.093,-0.019,0.093,1.346,0.19395454460689104,0.8060454553931089,0.5438830936825958,0.45611690631740415,0.45611690631740415,0.1230060752829582,0.2491294636954634,muy_alta,muy_alta,pitch_control_rival,presion_distancia,0,0,False,,0.3,,,,92.7384,9.7664,70.9604247393686,34.928582873745285,92.7384,9.7664,70.9604247393686,34.928582873745285,92.7384,9.7664,21.777975260631393,92.7384,33.27785530085245,65.9125,35.0222,5,backward,10,10,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_bepro,9.0,0.0,1.0,True,
4,45,bepro_sequences,T1,1,0,4.3,248.986,255.332,255332.0,cierre_bepro,6.346,0.481,0.86,0.58,0.124,0.097,0.124,1.22,0.25199384936609415,0.7480061506339057,0.6496238614004142,0.35037613859958583,0.35037613859958583,0.013145917364664972,0.026622363281009143,baja,muy_alta,pitch_control_rival,estructura_retroceso,1,0,False,0.05,0.335,255332.0,0.0,dentro_intervalo,79.1535198,28.1474368,69.1152,0.0832,79.1535198,28.1474368,69.1152,0.0832,79.1535198,28.1474368,10.038319799999996,87.312,29.80552384330036,29.80552384330036,11.4065,0,forward,4,4,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_bepro,5.0,5.0,0.5,True,
35,328,bepro_sequences,T1,1,0,42.9,2551.823,2571.78,2569546.0,cierre_recuperacion_propia,19.957,0.79,0.459,0.547,0.32,0.293,0.32,1.523,0.29028425910854805,0.709715740891452,0.6529395952600856,0.3470604047399143,0.3470604047399143,0.1714009967942346,0.281704206263817,critica,media,estructura_retroceso,pitch_control_rival,0,0,False,,0.05,,,,99.86098931400001,31.233411840000002,47.0832,27.7696,99.86098931400001,31.233411840000002,47.0832,27.7696,99.86098931400001,31.233411840000002,52.77778931400001,100.03480578,52.89133234600824,89.2733,52.6954,3,backward,7,7,False,ataque_elaborado,recuperacion_con_posesion_elaborada,cierre_recuperacion_propia,6.0,3.0,0.6666666666666666,True,
40,387,bepro_sequences,T1,1,1,49.5,2960.024,2967.09,2964037.0,cierre_recuperacion_propia,7.066,0.658,0.594,0.54,0.211,0.182,0.211,1.499,0.20072483719497014,0.7992751628050296,0.5394182001147917,0.4605817998852083,0.4605817998852083,-0.017200101899999626,-0.0066539208899825675,alta,alta,pitch_control_rival,presion_distancia,0,0,False,,0.1,,,,11.469168660000001,27.49137984,29.375999999999998,61.8176,11.469168660000001,27.49137984,72.624,2.1824000000000012,90.53083133999999,36.50862016,17.906831339999997,90.62283737999999,38.7161981489918,14.1101,12.5599,1,backward,2,2,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_recuperacion_propia,3.0,2.0,0.6,True,
12,115,bepro_sequences,T1,1,0,11.6,686.946,693.549,693549.0,cierre_bepro,6.603,0.548,0.734,0.537,0.075,0.046,0.075,1.013,0.2275003118892057,0.7724996881107945,0.5845533874058823,0.41544661259411775,0.41544661259411775,0.08073715188991407,0.2892444383313101,media,alta,pitch_control_rival,estructura_retroceso,0,0,False,,0.3,,,,86.9142,11.2512,70.7778,0.576,86.9142,11.2512,70.7778,0.576,86.9142,11.2512,16.136399999999995,86.9142,19.347953380138165,26.6297,20.4728,4,forward,7,7,True,balon_parado_con_continuidad,setpiece_con_continuidad_bepro,cierre_bepro,1.0,15.0,0.0625,False,Revisar: el poseedor detectado no confirma dominio rival en la secuencia.
