cluster_trayectoria,secuencias,tiros,tiros_puerta,duracion_media,porcentaje,tiro_pct,zona_dominante,carril_dominante,etiqueta_tactica
0,25,5,3,8.9,40.3,20.0,zona_3,carril_2,zona_3_carril_2_progresion_vertical_alta_amenaza
1,10,0,0,10.4,16.1,0.0,zona_2,carril_2,zona_2_carril_2_circulacion_amenaza_media
2,10,1,0,7.3,16.1,10.0,zona_3,carril_4,zona_3_carril_4_circulacion_amenaza_media
3,17,2,0,9.3,27.4,11.8,zona_2,carril_4,zona_2_carril_4_retroceso_amenaza_media
