secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
1,T1,1,0,1780,0,51.39367920000001,30.20064,0
1,T1,1,0,2260,1,44.85184982487334,29.83885596360883,0
1,T1,1,0,2780,2,42.673243987887524,28.887242556560473,0
1,T1,1,0,3020,3,42.29859726,28.573419519999998,0
1,T1,1,0,3500,4,39.24068461396054,33.13624955124422,0
1,T1,1,0,4020,5,38.650780060720024,34.22023490714995,0
1,T1,1,0,4500,6,36.549813,36.8252544,0
1,T1,1,0,5020,7,41.8836429,34.25196672,0
1,T1,1,0,5500,8,46.846917000000005,32.097241600000004,0
1,T1,1,0,5780,9,52.18320000000001,28.5888,0
1,T1,1,0,6260,10,58.04820000000001,25.4976,0
1,T1,1,0,6780,11,64.3926,22.1504,0
1,T1,1,0,7260,12,70.2576,19.0656,0
1,T1,1,0,7780,13,76.6122,15.7184,0
1,T1,1,0,8260,14,82.4772,12.6272,0
1,T1,1,0,8500,15,81.1002,10.656,0
1,T1,1,0,9020,16,78.387,9.696,0
1,T1,1,0,9500,17,75.87780000000001,8.8,0
1,T1,1,0,10020,18,74.10300000000001,7.5968,0
1,T1,1,0,10500,19,74.409,5.9776,0
1,T1,1,0,11020,20,74.7456,4.224,0
1,T1,1,0,11260,21,74.8986,3.4176,0
1,T1,1,0,11780,22,75.2352,1.664,0
1,T1,1,0,12260,23,77.3262,1.7472,0
2,T1,1,0,48780,0,96.774336,2.3679807999999944,1
2,T1,1,0,49020,1,96.96026160000001,2.324753279999999,1
2,T1,1,0,49260,2,97.12484880000001,2.298855039999999,1
2,T1,1,0,49500,3,97.3044096,2.2856076799999996,1
2,T1,1,0,49780,4,97.52750400000001,2.2709311999999993,1
2,T1,1,0,50020,5,97.3386,6.1248,1
2,T1,1,0,50260,6,97.4406,10.0608,1
2,T1,1,0,50500,7,98.16400654484008,19.207360527784743,1
2,T1,1,0,50780,8,98.05117726327293,21.89561226652744,1
2,T1,1,0,51020,9,98.01478641094162,24.183385469555084,1
2,T1,1,0,51260,10,98.27237939999999,26.486028799999996,1
3,T1,1,0,231020,0,56.8854,5.0048,0
3,T1,1,0,231260,1,58.751999999999995,4.8768,0
3,T1,1,0,231780,2,62.8116,4.6016,0
3,T1,1,0,232020,3,64.6782,4.4736,0
3,T1,1,0,232260,4,66.5448,4.3456,0
3,T1,1,0,232500,5,68.4216,4.224,0
3,T1,1,0,233020,6,72.471,3.9424,0
3,T1,1,0,233260,7,74.34779999999999,3.8208,0
3,T1,1,0,233500,8,76.2144,3.6928,0
3,T1,1,0,233780,9,78.3972,3.5392,0
3,T1,1,0,234260,10,82.1406,3.2896,0
3,T1,1,0,234500,11,84.0174,3.1616,0
3,T1,1,0,234780,12,86.2002,3.0144,0
3,T1,1,0,235020,13,88.0668,2.8864,0
3,T1,1,0,235500,14,91.4838,6.6048,0
3,T1,1,0,235780,15,93.41159999999999,9.5488,0
3,T1,1,0,236020,16,94.0236,10.5152,0
3,T1,1,0,236260,17,93.585,9.92,0
3,T1,1,0,236780,18,92.6364,8.6336,0
3,T1,1,0,237020,19,92.1978,8.0384,0
3,T1,1,0,237260,20,91.7694,7.4432,0
3,T1,1,0,237500,21,91.3308,6.848,0
3,T1,1,0,238020,22,87.9852,5.1584,0
3,T1,1,0,238260,23,82.7424,3.7504,0
4,T1,1,0,249020,0,69.1152,0.0832,1
