match_id,team_id,team_name,period_order,start_time,end_time,event_ids,x,y,to_x,to_y,attack_direction,ball_status,total_distance,num_of_passes,progress_direction,progress_distance
209425,12987.0,CD Subiza,0,736,2824,"[""696be9efa25766a48d7910ff"", ""696be9efa25766a48d791100"", ""696be9efa25766a48d791101"", ""696be9efa25766a48d791102""]",0.499803,0.519064,0.421875,0.40145699999999995,right,away,15.2791,3,backward,11.4415
209425,,,0,2824,3591,[],0.549837,0.506468,0.549837,0.506468,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,3591,15818,"[""696be9efa25766a48d791103"", ""696be9efa25766a48d791104"", ""696be9efa25766a48d791105"", ""696be9efa25766a48d791106"", ""696be9efa25766a48d791107"", ""696be9efa25766a48d791108"", ""696be9efa25766a48d791109""]",0.549837,0.506468,0.262919,0.121067,left,home,51.4836,3,backward,39.9302
209425,,,0,15818,51557,[],0.0542937,0.504277,0.0542937,0.504277,,ballout,0.0,0,,0.0
209425,12987.0,CD Subiza,0,51557,59624,"[""696be9efa25766a48d79110a"", ""696be9efa25766a48d79110b"", ""696be9efa25766a48d79110c"", ""696be9efa25766a48d79110d"", ""696be9efa25766a48d79110e"", ""696be9efa25766a48d79110f"", ""696be9efa25766a48d791110""]",0.0542937,0.504277,0.360337,0.053423,right,away,41.1757,4,backward,44.4134
209425,,,0,59624,65224,[],0.554961,0.216746,0.554961,0.216746,,ballout,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,65224,72991,"[""696be9efa25766a48d791112"", ""696be9efa25766a48d791113"", ""696be9efa25766a48d791114"", ""696be9efa25766a48d791115"", ""696be9efa25766a48d791116"", ""696be9efa25766a48d791117"", ""696be9efa25766a48d791118""]",0.554961,0.216746,0.41620100000000004,0.75,left,home,53.2123,4,forward,39.0789
209425,,,0,72991,74224,[],0.454815,0.882652,0.454815,0.882652,,neutral,0.0,0,,0.0
209425,12987.0,CD Subiza,0,74224,91641,"[""696be9efa25766a48d79111a"", ""696be9efa25766a48d79111b"", ""696be9efa25766a48d79111c"", ""696be9efa25766a48d79111d"", ""696be9efa25766a48d79111e"", ""696be9efa25766a48d79111f"", ""696be9efa25766a48d791120"", ""696be9efa25766a48d791121"", ""696be9efa25766a48d791122"", ""696be9efa25766a48d791123"", ""696be9efa25766a48d791124""]",0.454815,0.882652,0.280139,0.852259,right,away,50.8767,6,sideways,18.4571
209425,,,0,91641,92583,[],0.411544,0.831149,0.411544,0.831149,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,92583,98891,"[""696be9efa25766a48d791125"", ""696be9efa25766a48d791126"", ""696be9efa25766a48d791127"", ""696be9efa25766a48d791128"", ""696be9efa25766a48d791129""]",0.411544,0.831149,0.06179100000000004,0.579981,left,home,8.6136,1,backward,40.5014
209425,,,0,98891,100464,"[""696be9efa25766a48d79112b""]",0.03319700000000003,0.450649,0.03319700000000003,0.450649,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,100464,100464,"[""696be9efa25766a48d79112c""]",0.03319700000000003,0.450649,0.03319700000000003,0.450649,left,home,0.0,0,sideways,0.0
209425,,,0,100464,156071,[],0.500973,0.523285,0.500973,0.523285,,ballout,0.0,0,,0.0
209425,12987.0,CD Subiza,0,156071,164226,"[""696be9efa25766a48d79112e"", ""696be9efa25766a48d79112f"", ""696be9efa25766a48d791130"", ""696be9efa25766a48d791131"", ""696be9efa25766a48d791132"", ""696be9efa25766a48d791133"", ""696be9efa25766a48d791134"", ""696be9efa25766a48d791135""]",0.500973,0.523285,0.524717,0.9020406,right,away,58.1829,4,forward,25.8758
209425,,,0,164226,189671,[],0.537272,0.997055,0.537272,0.997055,,ballout,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,189671,189671,"[""696be9efa25766a48d791136""]",0.537272,0.997055,0.537272,0.997055,left,home,0.0,1,sideways,0.0
209425,,,0,189671,194754,"[""696be9efa25766a48d791138""]",0.348366,0.830627,0.142386,0.6386970000000001,,neutral,25.2607,0,,25.2607
209425,12987.0,CD Subiza,0,194754,201475,"[""696be9efa25766a48d791139"", ""696be9efa25766a48d79113a""]",0.142386,0.6386970000000001,0.143191,0.537728,right,away,6.8664,1,backward,6.8664
209425,,,0,201475,203991,[],0.431635,0.181352,0.431635,0.181352,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,203991,203991,"[""696be9efa25766a48d79113b""]",0.431635,0.181352,0.431635,0.181352,left,home,0.0,1,sideways,0.0
209425,,,0,203991,206796,[],0.120739,0.452283,0.120739,0.452283,,neutral,0.0,0,,0.0
209425,12987.0,CD Subiza,0,206796,242208,"[""696be9efa25766a48d79113c"", ""696be9efa25766a48d79113d"", ""696be9efa25766a48d79113e"", ""696be9efa25766a48d79113f"", ""696be9efa25766a48d791140"", ""696be9efa25766a48d791141"", ""696be9efa25766a48d791142"", ""696be9efa25766a48d791143"", ""696be9efa25766a48d791144"", ""696be9efa25766a48d791145"", ""696be9efa25766a48d791146"", ""696be9efa25766a48d791147"", ""696be9efa25766a48d791148"", ""696be9efa25766a48d791149"", ""696be9efa25766a48d79114a"", ""696be9efa25766a48d79114b"", ""696be9efa25766a48d79114c"", ""696be9efa25766a48d79114d""]",0.120739,0.452283,0.514846,0.31852800000000003,right,away,161.807,9,sideways,42.369
209425,,,0,242208,243899,[],0.477901,0.589505,0.477901,0.589505,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,243899,246145,"[""696be9efa25766a48d79114e"", ""696be9efa25766a48d79114f"", ""696be9efa25766a48d791150"", ""696be9efa25766a48d791151""]",0.477901,0.589505,0.524466,0.553438,left,home,7.1997,2,backward,5.47
209425,,,0,246145,247695,"[""696be9efa25766a48d791152""]",0.52563,0.602128,0.52563,0.602128,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,247695,253197,"[""696be9efa25766a48d791153"", ""696be9efa25766a48d791154"", ""696be9efa25766a48d791155"", ""696be9efa25766a48d791156""]",0.52563,0.602128,0.493068,0.9118587,left,home,31.2073,2,forward,21.3374
209425,,,0,253197,254548,[],0.552609,0.9686355,0.552609,0.9686355,,neutral,0.0,0,,0.0
209425,12987.0,CD Subiza,0,254548,260840,"[""696be9efa25766a48d791157"", ""696be9efa25766a48d791158"", ""696be9efa25766a48d791159"", ""696be9efa25766a48d79115a"", ""696be9efa25766a48d79115c"", ""696be9efa25766a48d79115d""]",0.552609,0.9686355,0.818202,0.870876,right,away,16.4987,2,sideways,28.6686
209425,,,0,260840,309424,[],0.831252,0.9395849000000001,0.831252,0.9395849000000001,,ballout,0.0,0,,0.0
209425,12987.0,CD Subiza,0,309424,309424,"[""696be9efa25766a48d79115e""]",0.831252,0.9395849000000001,0.831252,0.9395849000000001,right,away,0.0,0,sideways,0.0
209425,,,0,309424,314191,"[""696be9efa25766a48d79115f""]",0.896992,0.629178,0.6660280000000001,0.43886,,neutral,27.4883,0,,27.4883
209425,7608.0,C.D. Izarra,0,314191,319260,"[""696be9efa25766a48d791160"", ""696be9efa25766a48d791162"", ""696be9efa25766a48d791163"", ""696be9efa25766a48d791164""]",0.6660280000000001,0.43886,0.756719,0.194152,left,home,13.3714,1,backward,19.1722
209425,,,0,319260,324357,"[""696be9efa25766a48d791165"", ""696be9efa25766a48d791166""]",0.77069,0.33991800000000005,0.863602,0.0712881,,neutral,20.7087,0,,20.7087
209425,,,0,324357,344233,[],0.75112,0.0,0.75112,0.0,,ballout,0.0,0,,0.0
209425,12987.0,CD Subiza,0,344233,345594,"[""696be9efa25766a48d791167"", ""696be9efa25766a48d791168""]",0.75112,0.0,0.849383,0.091781,right,away,12.0584,2,forward,12.0584
209425,,,0,345594,346362,[],0.893762,0.0550314,0.893762,0.0550314,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,346362,347891,"[""696be9efa25766a48d791169"", ""696be9efa25766a48d79116a"", ""696be9efa25766a48d79116b""]",0.893762,0.0550314,0.895828,0.0665426,left,home,0.8123,0,forward,0.8123
209425,,,0,347891,367628,[],0.888843,0.052116,0.888843,0.052116,,ballout,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,367628,367628,"[""696be9efa25766a48d79116c""]",0.888843,0.052116,0.888843,0.052116,left,home,0.0,1,sideways,0.0
209425,,,0,367628,372366,[],0.102404,0.38373,0.102404,0.38373,,neutral,0.0,0,,0.0
209425,12987.0,CD Subiza,0,372366,397757,"[""696be9efa25766a48d79116d"", ""696be9efa25766a48d79116e"", ""696be9efa25766a48d79116f"", ""696be9efa25766a48d791170"", ""696be9efa25766a48d791171"", ""696be9efa25766a48d791172"", ""696be9efa25766a48d791173"", ""696be9efa25766a48d791174"", ""696be9efa25766a48d791175"", ""696be9efa25766a48d791176"", ""696be9efa25766a48d791177"", ""696be9efa25766a48d791178"", ""696be9efa25766a48d791179"", ""696be9efa25766a48d79117a"", ""696be9efa25766a48d79117b"", ""696be9efa25766a48d79117c""]",0.102404,0.38373,0.47906499999999996,0.953775,right,away,118.3525,7,forward,55.3781
209425,,,0,397757,398450,[],0.42435,0.937545,0.42435,0.937545,,neutral,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,398450,405557,"[""696be9efa25766a48d79117d"", ""696be9efa25766a48d79117e"", ""696be9efa25766a48d79117f"", ""696be9efa25766a48d791180"", ""696be9efa25766a48d791181"", ""696be9efa25766a48d791182""]",0.42435,0.937545,0.630297,0.578501,left,home,29.6004,3,backward,32.6145
209425,,,0,405557,413724,[],0.400308,0.11862899999999998,0.400308,0.11862899999999998,,ballout,0.0,0,,0.0
209425,12987.0,CD Subiza,0,413724,417003,"[""696be9efa25766a48d791184"", ""696be9efa25766a48d791185"", ""696be9efa25766a48d791186"", ""696be9efa25766a48d791187""]",0.400308,0.11862899999999998,0.52563,0.0394928,right,away,22.0433,2,backward,14.2166
209425,,,0,417003,425957,[],0.43207300000000004,0.00222379,0.43207300000000004,0.00222379,,ballout,0.0,0,,0.0
209425,7608.0,C.D. Izarra,0,425957,425957,"[""696be9efa25766a48d791188""]",0.43207300000000004,0.00222379,0.43207300000000004,0.00222379,left,home,0.0,1,sideways,0.0
209425,,,0,425957,429686,[],0.16777,0.232221,0.16777,0.232221,,neutral,0.0,0,,0.0
209425,12987.0,CD Subiza,0,429686,431091,"[""696be9efa25766a48d791189"", ""696be9efa25766a48d79118a""]",0.16777,0.232221,0.196866,0.14923699999999995,right,away,6.4169,1,backward,6.4169
