kpi,valor
Secuencias rivales,72
Tiros Bepro rival,9
Tiros en secuencias,6
Tiros a puerta rival,2
IDD medio,0.45516377986672324
IPO medio,0.31642868834976356
Cluster mas repetido,C3
Zona/carril mas danino,-
Foco defensivo,estructura_anchura
Cluster prioritario,0
