secuencia_rival_id,tipologia,cluster_trayectoria,period,match_time,point_order,ball_x_m,ball_y_m,tipo_finalizacion_tiro
1,T2,2,0,263,0,49.40556864,31.285122560000005,0
1,T2,2,0,783,1,44.58031584,31.389711360000003,0
1,T2,2,0,1263,2,37.1586,31.4624,0
1,T2,2,0,1503,3,34.312799999999996,31.5008,0
1,T2,2,0,2023,4,34.1802,31.3472,0
1,T2,2,0,2503,5,34.0578,31.2,0
1,T2,2,0,3023,6,33.9354,31.04,0
1,T2,2,0,3503,7,36.9138,34.144,0
1,T2,2,0,4023,8,41.8404,39.2576,0
1,T2,2,0,4263,9,44.1048,41.6192,0
1,T2,2,0,4783,10,49.0212,46.7328,0
1,T2,2,0,5263,11,53.5602,51.456,0
1,T2,2,0,5783,12,58.476600000000005,56.576,0
1,T2,2,0,6263,13,61.0266,59.7568,0
1,T2,2,0,6783,14,59.465999999999994,59.8656,0
1,T2,2,0,7023,15,58.7418,59.9168,0
1,T2,2,0,7503,16,57.303599999999996,60.0192,0
1,T2,2,0,8023,17,53.315400000000004,59.1936,0
1,T2,2,0,8503,18,47.7258,57.6832,0
1,T2,2,0,9023,19,42.956029508498936,58.11124215875089,0
1,T2,2,0,9503,20,44.10000887080259,61.469595459397425,0
1,T2,2,0,9783,21,43.39515387165373,61.70384180850154,0
1,T2,2,0,10263,22,45.96500992947293,60.168289634561674,0
1,T2,2,0,10783,23,45.92923116,55.9985261824,0
2,T0,0,0,48023,0,75.82679999999999,32.9728,0
2,T0,0,0,49503,1,75.71459999999999,25.44,0
2,T0,0,0,51023,2,76.23479999999999,11.9616,0
2,T0,0,0,52263,3,76.16340000000001,2.72,0
2,T0,0,0,53783,4,72.9912,2.6304,0
2,T0,0,0,55263,5,66.504,2.8416,0
2,T0,0,0,56783,6,51.5814,3.8144,0
2,T0,0,0,58023,7,39.4026,4.608,0
2,T0,0,0,59503,8,24.8778,5.5552,0
2,T0,0,0,61023,9,11.4852,6.7264,0
2,T0,0,0,62503,10,8.8332,15.648,0
2,T0,0,0,64023,11,6.4936504799999994,30.258457600000003,0
2,T0,0,0,65263,12,8.904635157772343,36.89452199324302,0
2,T0,0,0,66783,13,14.757714960000003,45.219264,0
2,T0,0,0,68263,14,16.31189188962294,43.41465694362576,0
2,T0,0,0,69783,15,17.56025472,36.37250368,0
2,T0,0,0,71263,16,16.79159177637507,21.0147931579113,0
2,T0,0,0,72503,17,16.605774930000003,21.906721600000004,0
2,T0,0,0,74023,18,17.114143440000003,34.81749056,0
2,T0,0,0,75503,19,19.757818200000003,38.46060800000001,0
2,T0,0,0,77023,20,22.736423249301374,50.72754579555068,0
2,T0,0,0,78263,21,27.755945707321334,57.078315231733846,0
2,T0,0,0,79783,22,32.2540524,62.850542016,0
2,T0,0,0,81263,23,33.8327574,62.59383744,0
3,T3,3,0,111503,0,37.893,41.4592,0
3,T3,3,0,111783,1,35.5572,38.8864,0
3,T3,3,0,112023,2,33.5478,36.6784,0
3,T3,3,0,112503,3,27.27545601122844,30.833526313963603,0
3,T3,3,0,112783,4,25.859088226665786,28.784042707612556,0
3,T3,3,0,113023,5,23.736226199999997,26.373497599999997,0
3,T3,3,0,113263,6,23.533246199999997,25.646457599999994,0
3,T3,3,0,113783,7,23.63518806,25.234922880000003,0
3,T3,3,0,114023,8,23.673512520000003,25.08551296,0
3,T3,3,0,114263,9,23.694691800000005,24.9584064,0
3,T3,3,0,114503,10,23.898600000000002,25.0496,0
3,T3,3,0,114783,11,26.2854,20.768,0
3,T3,3,0,115263,12,30.375600000000002,13.4208,0
3,T3,3,0,115503,13,32.415600000000005,9.7472,0
3,T3,3,0,115783,14,34.8024,5.4592,0
3,T3,3,0,116023,15,36.4548,2.4512,0
3,T3,3,0,116263,16,36.1794,2.7648,0
3,T3,3,0,116783,17,35.5674,3.4432,0
3,T3,3,0,117023,18,35.2818,3.7568,0
3,T3,3,0,117263,19,35.0064,4.0704,0
3,T3,3,0,117503,20,34.7208,4.384,0
3,T3,3,0,118023,21,35.077799999999996,7.9488,0
3,T3,3,0,118263,22,35.445,10.1888,0
3,T3,3,0,118503,23,35.812200000000004,12.4288,0
4,T0,0,0,124783,0,30.436799999999998,5.9264,0
4,T0,0,0,125023,1,29.6412,8.4672,0
4,T0,0,0,125503,2,28.039799999999996,13.5616,0
4,T0,0,0,125783,3,25.142165130141745,20.59167122921805,0
4,T0,0,0,126023,4,24.88126966624974,22.095814516646637,0
4,T0,0,0,126503,5,23.5864698,26.9274496,0
4,T0,0,0,126783,6,23.6680698,27.512409599999998,0
4,T0,0,0,127023,7,24.199203179999998,28.100207360000002,0
4,T0,0,0,127503,8,25.446097079999998,29.51862016,0
4,T0,0,0,127783,9,26.1886122,30.407334400000003,0
4,T0,0,0,128023,10,27.662399999999998,30.7584,0
4,T0,0,0,128503,11,29.273999999999997,32.0384,0
4,T0,0,0,128783,12,30.202199999999998,32.7872,0
4,T0,0,0,129263,13,31.8138,34.0672,0
4,T0,0,0,129503,14,32.6094,34.7072,0
4,T0,0,0,129783,15,33.5478,35.456,0
4,T0,0,0,130263,16,35.1492,36.736,0
4,T0,0,0,130503,17,35.955,37.376,0
4,T0,0,0,130783,18,36.8934,38.1248,0
4,T0,0,0,131263,19,38.4948,39.4048,0
4,T0,0,0,131503,20,39.20828817287095,40.73293866437758,0
4,T0,0,0,131783,21,40.26551559972522,41.14655638925754,0
4,T0,0,0,132263,22,42.240189,41.9738944,0
4,T0,0,0,132503,23,42.879729000000005,42.9076544,0
5,T2,2,0,163783,0,70.21078710000002,61.87223168,0
5,T2,2,0,164263,1,69.9874326,60.853998080000004,0
5,T2,2,0,164503,2,69.97194900000001,60.23550720000001,0
5,T2,2,0,165023,3,69.7374,59.3856,0
5,T2,2,0,165503,4,69.50280000000001,58.4512,0
5,T2,2,0,166023,5,69.10533730862379,56.5538193997933,0
5,T2,2,0,166263,6,68.90782934188246,56.40052383115254,0
5,T2,2,0,166783,7,68.4691524,55.7456512,0
5,T2,2,0,167263,8,69.18608875406251,58.40992820964666,0
5,T2,2,0,167783,9,68.69579150399998,61.645905792,0
5,T2,2,0,168023,10,69.08060976,61.846363520000004,0
5,T2,2,0,168503,11,70.76279682,61.957283392,0
5,T2,2,0,169023,12,72.5709367198907,62.341906976078015,0
5,T2,2,0,169503,13,74.3723412,62.66450112,0
5,T2,2,0,169783,14,75.27912119999999,61.87922112,0
5,T2,2,0,170263,15,78.81456156,59.203326656,0
5,T2,2,0,170783,16,83.6996510608845,55.01521950770536,0
5,T2,2,0,171263,17,87.4898710868937,52.66735320727706,0
5,T2,2,0,171503,18,88.8505272,51.5157312,0
5,T2,2,0,172023,19,91.95307752000001,50.406017920000004,0
5,T2,2,0,172503,20,91.87363802874498,49.352485472629496,0
5,T2,2,0,173023,21,91.18797959999999,47.79509759999999,0
5,T2,2,0,173263,22,91.3960596,47.44501759999999,0
5,T2,2,0,173783,23,87.19508148,46.76588287999999,0
6,T0,0,0,178023,0,38.9255664,39.26733184,0
6,T0,0,0,178503,1,34.571798400000006,38.34229504,0
6,T0,0,0,179263,2,27.183,36.3072,0
6,T0,0,0,179783,3,22.2972,35.104,0
6,T0,0,0,180503,4,14.061440737892674,33.32773020082131,0
6,T0,0,0,181023,5,11.023803,32.3219584,0
6,T0,0,0,181503,6,10.6735299,32.368561920000005,0
6,T0,0,0,182263,7,10.5876,32.288,0
6,T0,0,0,182783,8,10.4142,32.2752,0
6,T0,0,0,183503,9,10.1694,32.2496,0
6,T0,0,0,184023,10,9.9858,32.2368,0
6,T0,0,0,184503,11,9.429575210252686,32.57490166025857,0
6,T0,0,0,185263,12,9.554601120000001,32.203187199999995,0
