cluster_trayectoria,secuencias,ddi_medio,ipar_medio,tiros,tiros_puerta
0,14,0.614,0.563,5,1
2,25,0.535,0.38,1,1
3,26,0.315,0.167,0,0
1,7,0.374,0.15,0,0
