cluster_trayectoria,punto,amenaza_media
0,0,0.035040094965399324
0,1,0.0359447070675466
0,2,0.0383990693903398
0,3,0.03998252646297421
0,4,0.04200064214272905
0,5,0.044623334647198254
0,6,0.04771745616769122
0,7,0.049736580426724485
0,8,0.05041091866137293
0,9,0.05207409955948549
0,10,0.055034924700370365
0,11,0.05990597782139285
0,12,0.06473253719882839
0,13,0.07003653855316531
0,14,0.07555398086511966
0,15,0.08139032650809978
0,16,0.08790968434123704
0,17,0.09207103531314013
0,18,0.09778809883424554
0,19,0.09957304621472701
1,0,0.00951695895127854
1,1,0.009604888123781963
1,2,0.00980256041718869
1,3,0.010294353650711229
1,4,0.01109965477039968
1,5,0.012134433758454391
1,6,0.01307465404069516
1,7,0.013859035720404853
1,8,0.014729790554035402
1,9,0.015620591571466039
1,10,0.016650018784764825
1,11,0.017757298529318722
1,12,0.019406924339190366
1,13,0.022255050487923256
1,14,0.025319129876055196
1,15,0.02821314911182769
1,16,0.02970004224175367
1,17,0.03047156541505271
1,18,0.030790897900009412
1,19,0.03086477967858601
2,0,0.03041722700727354
2,1,0.03071263246504223
2,2,0.030777111092827363
2,3,0.031151910257997035
2,4,0.031407508630731086
2,5,0.0321128264219567
2,6,0.03285559162425421
2,7,0.033750620184779756
2,8,0.034883183851036385
2,9,0.03638771596829643
2,10,0.039412380888130254
2,11,0.043374530664157064
2,12,0.04842857667185565
2,13,0.05329868055637569
2,14,0.0582370232684534
2,15,0.06394667818638745
2,16,0.07092672312068725
2,17,0.08374696315297168
2,18,0.09217623953568854
2,19,0.09857447660537312
3,0,0.014840112071518526
3,1,0.013874133570060024
3,2,0.012329961353731725
3,3,0.011042253821426387
3,4,0.010410475148840461
3,5,0.00999871763558388
3,6,0.00969824575429376
3,7,0.009339011612689333
3,8,0.009060307658889226
3,9,0.008820758361505069
3,10,0.008804864608715667
3,11,0.008990117914330806
3,12,0.009371288781729185
3,13,0.00984712773923691
3,14,0.01035298122690896
3,15,0.01100101970243165
3,16,0.01185070675852253
3,17,0.013065164859829191
3,18,0.014091998641512024
3,19,0.014688980508768254
