k,inertia,silhouette,min_cluster_size,elbow_strength
2,9043.059650811745,0.2769062694515004,122,0.0
3,6866.199051435221,0.27010955838849676,87,0.2901580120268673
4,5939.596951971946,0.23069195334665535,45,0.35015499900957253
5,5405.269601189251,0.19659087601106634,41,0.33793783326983823
6,5049.732083513901,0.16867573966609897,32,0.29280711304651813
7,4723.282204079661,0.18162000724355232,28,0.2423216276813075
8,4516.415102281653,0.17252841315464643,23,0.16982205908427483
9,4350.992535956421,0.15938185845557604,20,0.08969293486530068
10,4237.521578509522,0.14520878015377486,14,0.0
