match_id,secuencia_rival_id,verticalidad,horizontalidad,ritmo_pases,duracion_log,eventos_log,recorrido_log,vel_media_balon,amplitud_balon_m
199542,34,0.6243877456205885,0.7811145518544891,0.2173913043478261,2.322387720290225,1.6094379124341003,3.879308562071334,5.1511678592599,57.4912
199542,70,-0.777596357261318,0.6287637912395471,0.1020512297173181,2.3794535372506225,1.6094379124341003,3.9393458670928303,5.141848933536729,35.053529600000005
199542,42,-0.6662211479238821,0.7457542370372325,0.3352329869259135,1.9410411719438094,1.6094379124341003,2.7577485878314105,2.4747420387396195,17.784216991463982
199542,36,0.8945900613395656,0.44688770642351816,0.19896538002387584,3.049462595974959,1.9459101490553132,4.013100642508551,2.701856678238525,36.29330304
199542,22,0.9736884237413825,0.22788342079234694,0.17094017094017094,2.5416019934645457,1.791759469228055,4.080711902148789,4.9732983442834975,25.0942912
199542,33,0.9682208434874907,0.2500967777408813,0.28622540250447226,2.706382144001513,2.302585092994046,4.1154811173586205,4.313537807267952,20.9728
199542,24,0.7637297948812729,0.6455360566309284,0.17587055926837847,2.8935887998852876,2.1972245773362196,4.04748708321234,3.297772487142693,55.809102079999995
199542,49,-0.7701887252383093,0.6378160608794577,0.26811705224452276,3.2998288872738666,2.772588722239781,3.204435269406085,0.9055301146055867,33.824579576618135
199542,41,-0.9742984030736535,0.22526123005996587,0.2310536044362292,2.2675794837952306,1.6094379124341003,3.5243818683295505,3.8046201708354253,22.508487040000002
199542,13,0.8874912924385461,0.46082448485921323,0.222543674196061,3.3308106821051564,2.6390573296152584,4.041717886112463,2.074257182214007,61.989552
199542,58,-0.9255704055439312,0.3785755200501515,0.20951183741881416,2.729093888030559,1.9459101490553132,3.4434460693865945,2.115693552742642,23.123199999999997
199542,61,-0.20099431977051044,0.9795924067794675,0.1935733643050716,1.8190503294639586,1.0986122886681098,3.5478267226390168,6.530727961151787,33.394681600000006
199542,56,-0.8757451202325182,0.4827737403680241,0.39984006397441024,1.7920927470181753,1.0986122886681098,3.7367951523748917,8.189381944355711,19.776
199542,37,-0.9519337598056284,0.30630396168237867,0.29427343887940677,2.8898716328544825,2.3978952727983707,4.139306412156867,3.6348229814801654,35.52519130099283
199542,28,0.9628323415150857,0.27009976329604096,0.2260568156129907,2.6582295061182544,1.9459101490553132,3.9555190686684716,3.859753909020166,15.143066168958285
199542,50,-0.9999958841506583,0.002869090751977084,0.15382248884786956,2.0150363449874993,1.3862943611198906,3.355513973127291,4.254780963814078,4.153599999999997
